number,abbr,ady,teklip_sany,tema-1-teklip,tema-2-teklip,tema-3-teklip,tema-4-teklip,tema-5-teklip,tema-6-teklip,tema-7-teklip,tema-8-teklip,tema-9-teklip,tema-10-teklip,tema-11-teklip,tema-12-teklip,tema-13-teklip,tema-14-teklip,tema-15-teklip,tema-16-teklip,tema-17-teklip
11,,”Türkmenobahyzmat” döwlet birleşiginiň “Ahalobahyzmat” önümçilik birleşiginiň Bäherden etrabyndaky hünär-tehniki okuw mekdebi,4,Berkarar döwletimiziň täze Galkynyşy döwrüne mynasyp nesilleri ýetişdirmekde alnyp barylýan işlerine salgylanmak ,Hünär-tehniki okuw mekdepleriniň arasynda degişli işleriň alnyp barylýandygyny özara baglanyşyklaryny saklamak,Watan gullugyna gitmedik talyp oglanlary okuwy tamamlanýança harby borçlylykdan boşadylmagy,Hünär okuw ulgamyny zähmet bazary bilen hemişe arabaglanyşygy  saklap ykdysady ösüşiň talaplary bilen deň hereket etmegi,,,,,,,,,,,,,
12,,Ahal welaýat häkimliginiň 5-nji hünär-tehniki okuw mekdebi,5,Ylym-bilim ulgamyny kämilleşdirmek ýaşlar barada döwlet syýasaty bilen bagly maslahatlary geçirmegi yzygiderli ýola goýmaly,Hünäri öwretmegiň giň täzeçe usullaryny gözlemeli we hünär-tehniki okuw mekdepleriniň arasynda tejribe alyşmaly,Bilimiň pugtalandyrylmagy üçin hünär-tehniki okuw mekdeplerine döwlet tarapyndan hemaýat-goldaw bermeli hem-de okuwy tamamlan talyplary iş bilen üpjünçiligini göz öňünde tutmaly,Hünär-tehniki okuw mekdeplerinde okatmagyň täze tehnologiýalar bilen üpjünçiligini ýola goýmaly hem-de salgytlaryň we ýygymlaryň ähli görnüşlerinden boşadylmagyna ýardam bermeli,,,,,,,,,,,,,Hünär-tehniki okuw mekdeplerinde uzak möhletli okuwlaryň başlanýan wagtyny hünär öwrenijileriň doly toplanan wagty ýylyň islendik wagtynda başladylmagyny ýola goýmaly 
13,,Ahal welaýat häkimliginiň 6-njy hünär-tehniki okuw mekdebi,5,Ylym-bilim ulgamyny kqmilleşdirmek ýaşlar barada döwlet syýasaty  bilen bagly maslahatlary geçirmegi yzygiderli ýola goýmaly,Hünäri öwrenmegiň täzeçe usullaryny görkezmeli we hünär-tehniki okuw mekdepleriniň arasynda tejribe alyşmaly,Hünäri pugtalandyrylmagy üçin hünär-tehniki okuw mekdeplerine döwlet tarapyndan hemaýat goldow bermeli  ,Hünär tehniki okuw mekdeplerinde okatmagyň täze tehnologiýalar bilen üpjünçiligi ýola goýmaly hem-de okuw töleglerini galdyrylmagy ,,"Hünär tehniki okuw mekdeplerinde hünärleri açmak ""kitaphanaçy we arhiwçi"",""Buhgalter ykdysadyýetçi""",,,,,,,,,,,
14,,Ahal welaýatynyň Tejen etrap häkimliginiň 2-nji hünär-tehniki okuw mekdebi,4,"Ylymyň, tehnikanyň örän çalt depginlerde ösmegi, täze tehnologiýalaryň döremegi bilen baglylykda bilim edaralarynda okatmagyň usulyýetini kämilleşdirmek","Hünär-tehniki okuw mekdepleriniň arasynda degişli işleriň alnyp barylýandygyny, özara baglanşyklary saklamak","Umumybilim berýän mekdepleriň 10-njy synpyny tamamlaýan mekdep okuwçylarynyň isleg bildirýünlerine, orta mekdebiň 11-12-nji synplarynyň maksatnamasyny hünär-tehniki okuw mekdeplerinde dowam etdirmäge mümkinçilik döretmek (tölegli esasynda, diňe hünär bilimi üçin töleg almak şerti bilen)",Hünär okuw ulgamy çalt üýtgeýän zähmet bazary bilen hemişe arabaglanyşygy saklap ykdysady ösüşiň talaplary bilen aýakdaş hereket etmegi.,,,,,,,,,,,,,
15,,”Türkmenobahyzmat” döwlet birleşiginiň “Ahalobahyzmat” önümçilik birleşiginiň Tejen şäherindäki  hünär-tehniki okuw mekdebi,4,"Täze döwür amala aşyrylýan özgertmeleri has-da giňeldip, jemgyýetimiziň aň-bilim mümkinçiligini ýokarlandyrmagy ","hünär-tehniki okuw mekdepleriniň arasynda degişli işleriň alnyp barylýandygyny, özara baglanşyklary saklamak ",,hünär-tehniki okuw mekdeplerini salgytlaryň we ýygymlaryň ähli görnüşlerinden boşadylmagy,,Hünär okuw ulgamy çalt üýtgeýän zähmet bazary bilen hemişe arabaglanyşygy saklap ykdysady ösüşiň talaplary bilen aýakdaş hereket etmegi,,,,,,,,,,,
16,,“Türkmennebit” döwlet konserniniň Türkmenbaşydaky nebiti gaýtadan işleýän zawodlar toplumynyň hünär-tehniki okuw mekdebi,1,,,,,,Döwrüň talabyna görä çalt üýtgeýän zähmet baza şertlerinde dünýäniň öňdebaryjy tejribesini öwrenmek üçin hünär tehniki webinarlar toplumynyň işläp düzmegiň guramak.,,,,,,,,,,,
17,,Balkanabat nebitçilik orta hünär okuw mekdebiniň  2-nji hünär-tehniki okuw mekdebi,8,"Bilim edaralary mugallymlaryň hünär şahsyýetini kämilleşdirmäge şert döretmeli, hünär taýdan dowamly ösüşini ýeňilleşdirmäge we talyplar bilen okuw işini alyp barmakda mugallymlara öz pikirlerini we tejribelerini netijeli ulanmaga mümkinçilik berýän dolandyryş işlerini amala aşyrmak.",Sanly we tehnologik ösüş üçin bilim edaralarynda mümkinçilikleri döretmek.,Bilimiň ähli derejelerinde başarnyklara esaslanýan bilim maksatnamalaryny taslamak we ösdürmek hem-de öwrenmegiň adaty reproduktiw usulyndan bilimiň konstruktiw başarnyklara esaslanýan usulyna geçmegi dowam etmek.,Döwlet bilim edaralarynda tölegsiz umumy orta bilimi hem-de bilime berilýän döwlet maliýe goldawyny dowam etdirmek we güýçlendirmek.,,"Sanly bilimiň mümkinçiliginden giňden peýdalanmaklygy ýola goýmak, islendik ýerde internete girmek we enjamlary ulanmak mümkinçiligini dňretmek.",,,,,Bilim edaralary ylmyň täze gazanan üstünliklerinden netijeli peýdalanmaklygy we talyplaryň okaýan hünärleri bilen baglanşykly edara-kärhanalarda önümçilik tejribelerini geçmekligini hem-de talyplaryň önümçilik tejribelikleriniň geçişine berk gözegçilik etmek bilen adara-kärhanalar bilen ýakyn arabaglanşygy ýola goýmak.,,,,"""Türkmenistanda ylym ulgamuyny ösdürmegiň 2024-2025-nji ýyllar üçin strategiýasyna"" esaslanyp hünär-tehniki okuw mekdepleri ösdürmegiň strategiýasyny işläp taýýarlamaly hem-de bu babatda hünär-tehniki okuw mekdepleriniň arasynda ýakyn arabaglanşygy ýola goýmaly.",,Milli maslahatlaşmalarda öňe sürülen teklipleri durmuşa geçirmekligi hem-de ýurdumyzyň edara kärhanalarynda öz hünärleri boýunça başarnykly ýaşlary ýetişdirmekligi gazanmaly.
18,,”Türkmenobahyzmat” döwlet birleşiginiň “Balkanobahyzmat” önümçilik birleşiginiň Gyzylarbat etrabyndaky hünär-tehniki okuw mekdebi,3,sanly we tehnologik ösüş üçin bilim edaralarda muňkinçilikleri döretmek,täze bilim maksatnamalaryny taslamak,,,,okaýanlaryň zerurlyklaryna yzygiderli gözegçilik edilmeli,,,,,,,,,,,
19,,Balkanabat şäher häkimliginiň Gumdag şäherçesindäki 3-nji hünär-tehniki okuw mekdebi,3,,,,Hünär-tehniki okuw mekdepleriň mugallymlarynyň orta mekdeplerde sagatlaýyn okatmak üçin şertleri döretmek.,,11-12-nji synplarda hünäre ugrukdyryş dersleri girizmek.,,,,,Dual-hünär bilimi boýunça iş berijiler bilen bilelikde çäreler toplumyny meýilleşdirmek.,,,,,,
20,,”Türkmenobahyzmat” döwlet birleşiginiň “Balkanobahyzmat” önümçilik birleşiginiň Bereket şäherindäki hünär-tehniki okuw mekdebi,3,sanly we tehnologik ösüş üçin bilim edaralarda mümkin-çilikleri döretmek,täze bilim maksat-nama-laryny taslamak,,,,okaýanlaryň zerurlyklaryna yzygiderli gözegçilik edilmeli,,,,,,,,,,,
21,,Balkan welaýat häkimliginiň Gyzylarbat etrabyndaky hünär-tehniki okuw mekdebi,3,,,,Hünär-tehniki okuw mekdeplerini salgytlardan boşadylmagyny,,Ýaşlaryň orta bilim alýan döwründe utgaşdyryp başlangyç hünär bilimini almaklygy,,,,,,,,,,,Hünär-tehniki okuw mekdeplerini orta hünär okuw mekdebine öwürmekligi
22,,Balkanabat şäher häkimliginiň Hazar şäherçesindäki 1-nji hünär-tehniki okuw mekdebi,7,"Bilim edaralarynyň mugallymlarynyň hünär şahsyýetini kämilleşdirmäge şert döretmeli, hünär taýdan dowamly ösüşini ýeňilleşdirmäge we talyplar bilen okuw işini alyp barmakda mugallymlara öz pikirlerini we tejiribelerini netijeli ulanmaga mümkinçilik berýän dolandyryş işlerini amala aşyrmak.",Sanly we tehnologik ösüş üçin bilim edaralarynda mümkinçilikleri döretmek.,Bilimiň derejelerinde başarnyklara esaslanýan bilim maksatnamalaryny taslamak we ösdürmek hem-de öwrenmegiň adaty reproduktiw usulynda bilimiň konstruktiw başarnylara esaslanýan usulyna geçmegi dowam etmek,Döwlet bilim edaralarynda tölegsiz umumy orta bilimi hem-de bilime berilýän döwlet maliýe goldawyny dowam etdirmek we güýçlendirmek ,,"Sanly bilimiň mümkinçliginden giňden peýdalanmaklygy ýola goýmak, islendik ýerde internete girmek we enjamlary ulanmak mümkinçiligini döretmek",,,,,Bilim edaralarynda täze gazanan üstünlikliklerinden netijeli peýdalanmaklygy we talyplaryň okaýan hünärleri bilen baglanyşykly edara-kärhanlarynda önümçilik tejiribelerini geçmekligini hem-de talyplaryň önümçilik tejiribeliklerini geçi'ine berk gözegçilik etmek bilen edara-kärhanalar bilen ýakyn arabaglanyşygy ýola goymak.,,,,"""Türkmenistanda ylym ulgamyny ösdürmegiň 2024-2025-nji ýyllar üçin strategiýasyna"" esaslanyp hünär-tehniki okuw mekdepleri ösdürmegiň strategiýasyny işläp taýýarlamaly hem-de bu babatda hünär-tehniki okuw mekdepleriniň arasynda ýakyn arabaglanyşygy ýola goymak",,
23,,Daşoguz welaýat häkimliginiň garamagyndaky 1-nji hünär-tehniki okuw mekdebi,2,,,,,,,,,,,Ýokary okuw mekdeplerinde ylym-bilim-önümçilik arabaglanyşygynyň kämil usulyny döretmekde bilim alýan hünäri boýunça degişli edara-kärhanalarda önümçilik tejribeliginiň möhletini uzaltmak;,,,,Ýokary bilimi ösdürmegiň Strategiýasyny taýýarlamakda dünýäniň öňdebaryjy bilim edaralary bilen hyzmatdaşlygy artdyrmak;  ,,
24,,Daşoguz welaýat häkimliginiň garamagyndaky 2-nji hünär-tehniki okuw mekdebi,2,"ýaş nesilleri milli gymmatlyklarymyza, däp-dessurlarymyza buýsanç ruhunda, ynsanperwer kadalarymyz esasynda terbiýelemek üçin meşhur şahsyýetlerimiziň ýadygärliklerini ebedileşdirmek boýunça degişli işleri alyp barmaly",,,,,,,,,,"Ylmyň we tehnikanyň örän çalt depginlerde ösmegi, täze tehnologiýalaryň döremegi bilen baglylykda, bilim edaralarynda okatmagyň usulyýetini kämilleşdirmek",,,,,,
25,,Boldumsaz etrap  häkimliginiň garamagyndaky 3-nji hünär-tehniki okuw mekdebi,2,,,,,,,,,,,Ýokary okuw mekdeplerinde ylym-bilim-önümçilik arabaglanyşygynyň kämil usulyny ýola goýmaly ,,,,Ýokary bilimi ösdürmegiň Strategiýasyny taýýarla     maklygy çaltlaşdyr     maly,,
26,,Şabat etrap häkimliginiň garamagyndaky 4-nji hünär-tehniki okuw mekdebi,4,,sanly tehnologiýalary ulanmagyň netijesinde ýaşlarda göwniçökgünlik duýgylaaryny döremeginiň öňüni almak çäreleri meýilleşdirmek. ,Bilim edaralarynyň özbaşdaklygyny goldamak.,Sanly bilimde deňsizligi aradan aýyrmak üçin serişdeleri bölüp bermek.,,Bilim işiniň merkezinde okaýanlary goýýan usula tapgyrlaýyn geçmek.,,,,,,,,,,,
27,,“Türkmenpagta”döwlet konserniniň “Daşoguzpagta” önümçilik birleşiginiň Akdepe etrabyndaky  hünär-tehniki okuw mekdebi,8,talyp ýaşlaryň döredijiligini we başarnygyny ýokarlandyrmak,Bilim başarnyklaryny öňe sürmek,okaýanlaryň öz islegini beýan edip bilmegi we öňünde goýan maksatlary amala aşyrmak,Döwlet maliýe goldawy bermegi dowam etmek,,Sanly we tehnologiki ösüş üçin mümkinçiliklri döretmek,,,,,,,,,Dual(ikitaraplaýyn) hünär bilimini ornaşdyrmak,Tälimçilik terbýieçilik işleri şahsy we toparlaýyn okuwlar arkaly ösdürmek,Ähli toparlaryň pikirlerini we maglumatlaryny toplamak we jemlemek
28,,Görogly etrap  häkimliginiň garamagyndaky 5-nji hünär-tehniki okuw mekdebi,1,,,,,,Mugallymlaryň barha tizleşýän durmuş we tehnologiki özgertmelerden baş alyp çykarmaklyga gönükdirmek.,,,,,,,,,,,
29,,Köneürgenç etrap  häkimliginiň garamagyndaky 6-njy hünär-tehniki okuw mekdebi,2,,,,,,,,,,,Ýokary okuw mekdeplerinde ylym-bilim-önümçilik arabaglanyşygynyň kämil usulyny ýola goýmaly ,,,,Ýokary bilimi ösdürmegiň Strategiýasyny taýýarla     maklygy çaltlaşdyr     maly,,
30,,”Türkmenobahyzmat” döwlet birleşiginiň “Daşoguzobahyzmat” önümçilik birleşiginiň Daşoguz şäherindäki hünär-tehniki okuw mekdebi,8,Talyp ýaşlaryň döredijiligini we başarnyklaryny ýokarlandyrmak ,Bilimiň başarnyklaryny öňe sürmek,Okaýanlaryn öz isleglerini beýan edip bilmekligi we öňünde goýlan maksatlary amala aşyrmak,Döwlet maliýe goldawyny bermegi dowam etdirmek ,,Sanly we tehnologik ösüş üçin mümkinçilikleri döretmek,,,,,Dual hünär bilimini ornaşdurmak,,,,"Tälimçilik, terbiýeçilik işleri şahsy we toparlaýyn okuwlar arkaly ösdürmek ",,Ähli taraplaryň pikirlarini we maglumatlaryny toplamak we jemlemek
31,,Akdepe etrap häkimliginiň 7-nji hünär-tehniki okuw mekdebi,8,Gahryman Arkadagymyzyň öňe süren tekliplerinden ugur alyp ýaşlaryň arasynda teklipleriň many-mazmunyny düşündirmek maksady bilen yzygider maslahatlary geçirmek ähmiýetini düşündirmek bilen bagly maslahatlar;,Bilim ulgamynda öňdebaryjy döwletleriň ýaşlara bilim bermekde we okatmakda usulyýetlerini ornaşdyrmak ," Ýaşlaryň bilim ulgamynda halkara bäsleşiklere gatnaşmaklaryny artdyryp, baýrakly orunlary gazanmaklaryny ýola goýmaly",Ýurdumyzyň bilim ulgamyny pugtalandyrmaklyga höweslendirmekde ähli görkezijileri öňdebaryjy bolan bilim edaralaryna grantlaryň berilişini ýola goýmak ,,Her bir bilim edaralarynda tehnologiki merkezlerini döretmek,,,,,Ýokary okuw mekdeplerinde ylym-bilim-önümçilik arabaglanyşygynyň kämil usulyny döretmekde bilim alýan hünäri boýunça degişli edara-kärhanalarda önümçilik tejribeliginiň möhletini uzaltmak;,,,,Ýokary bilimi ösdürmegiň Strategiýasyny taýýarlamakda dünýäniň öňdebaryjy bilim edaralary bilen hyzmatdaşlygy artdyrmak;  ,,Ähli taraplaryň pikirlarini we maglumatlaryny toplamak we jemlemek
32,,Saparmyrat Türkmenbaşy etrap  häkimliginiň 8-nji hünär-tehniki okuw mekdebi,2,,,,,,,,,,,Ýokary okuw mekdeplerinde ylym-bilim-önümçilik arabaglanyşygynyň kämil usulyny ýola goýmaly ,,,,,Intellektual eýeçilik ulgamyny ösdürmegiň Konsepsiýasyny durmuşa geçirmekligi teklip edýäris ,
33,,Boldumsaz etrap  häkimliginiň garamagyndaky 9-njy  hünär-tehniki okuw mekdebi,3,,,Hünär tehniki bilim edaralarynda milli maksatnamalary we görkezijileri kesgitlemek boýunça işleri alyp barmak, ,,,,,,,,,,,,,
34,,Türkmenistanyň Energetika ministrliginiň Mary şäherindäki hünär-tehniki okuw mekdebi,8,Gahryman Arkadagymyzyň eserleriniň many mazmunyny yerine ýetirmek,sanly ulgamy össürmek we kämilleşdirmek,milli maksatnamalary bilim ulgamyna ornaşdyrmaga ýardam bermek,Mugallymlaryä zühmet haklaryny býudjetden maliýeleşdirmek,,okuw sapaklarynyň maglumatlaryny gerekli programma üpjinçiligi arkaly talyplaryň islendik ýerde özleşdirmäge mümkinçilik döretýan programma üpjinçiligini döretmek,,,,,Ýokary önümçilik edaralary bilen arabaglanşygy ýola goýmaly,,,,Hünär tehniki bilim bermegiň Strategiýasyny ornaşdyrmaly,,2024-nji ýylyň dekabr aýynda
35,,Garagum etrap häkimliginiň garamagyndaky 2-nji hünär-tehniki okuw mekdebi,2,,,,,,,,,,,Okuwlaryň möhleti 1 (bir) okuw ýylyndan köp bolmasa indiki täze okuw ýylynda ýokary okuw jaýyna isleg arzuwy boýunça talyplyga dalaşgär bolmaga mümkinçilik döredýär. ( Ähli ýaşlaryň arzuwy).,,,, Mekdebiň ( hünär-tehniki) okuw-maddy bazasy boýunça hünär okuwlary okatmaga rugsat berilse gowy boljakdy .,,
36,,S.A. Nyýazow adyndaky Türkmen oba hojalyk uniwersitetiniň  Tagtabazar etrabyndaky hünär-tehniki okuw mekdebi,2,,,,,,Täze bilim edaralarynda okatmagyň usulyýetini düýpgöter ýokarlandyrmaly ,,,,,,Ýaşlarymyzy milli gymmatlyklarymyza we däp- dessurlarymyza  buýsanyp ýaşar ýaly şertleri we mümkinçilikleri döretmeli,,,,,
37,,Türkmenobahyzmat” döwlet birleşiginiň “Maryobahyzmat” önümçilik birleşiginiň Mary şäherindäki hünär-tehniki okuw mekdebi,1, okatmagyň usulyýetini kämilleşdirmek; ,,,,,,,,,,,,,,,,
38,,”Türkmenobahyzmat” döwlet birleşiginiň “Maryobahyzmat” önümçilik birleşiginiň Baýramaly etrabyndaky hünär-tehniki okuw mekdebi,1, okatmagyň usulyýetini kämilleşdirmek; ,,,,,,,,,,,,,,,,
