name,tema-sany,teklipler
Berdimuhamet Annaýew adyndaky Arkadag şäher mugallymçylyk orta hünär okuw mekdebi,12,"gözbaş alýan medeniýetimizi, edebiýatymyzy, şöhratly taryhymyzy ýaşlara öwredilende Gahryman Arkadagymyzyň, Arkadagly Gahryman Serdarymyzyň kitaplaryny ýol ýörelge edinip, sapaklarda öwredilse gowy bolar."
Berdimuhamet Annaýew adyndaky Arkadag şäher mugallymçylyk orta hünär okuw mekdebi,12,"Talyplary Watançylyk ruhunda terbiýelemek okuw sapaklarynyň has hem täsirli, millilige ýugrulan milli şahsyýetlerimiziň adyny ebedileşdirmek maksady bilen okuw sapaklarynda taryhy meşhur şahsyýetlerimiziň ömri we  döredijiligi dogrusynda berilýän sagatlaryň mukdary artdyrylsa."
Berdimuhamet Annaýew adyndaky Arkadag şäher mugallymçylyk orta hünär okuw mekdebi,12,"Orta hünär okuw mekdepleriniň okuw maksatnamalaryna taryhymyzy, medeniýetimizi düýpli öwrenmek üçin gezelenç sapaklary girizilse."
Berdimuhamet Annaýew adyndaky Arkadag şäher mugallymçylyk orta hünär okuw mekdebi,13,Ýurdumyzyň orta hünär okuw mekdeplerinde ÝUNESKO klubyny döretmek.
Berdimuhamet Annaýew adyndaky Arkadag şäher mugallymçylyk orta hünär okuw mekdebi,13,Meşhur şahsyýetlerimiziň ady bilen elektron saýtlary döretmek.
Berdimuhamet Annaýew adyndaky Arkadag şäher mugallymçylyk orta hünär okuw mekdebi,13,"Bilimiň mazmunyna we okatmagyň usulyýetine täzeçe garamak, degişli ugurlar boýunça ýygnalýan bilimleri baýlaşdyrmak üçin barlaglarda innowasion tehnologiýalary ulanmak, wideorolikleri taýýarlamak, olaryň möçberiniň sanyny artdyrmak boýunça yzygiderli işleri alyp barmak."
I.Gandi adyndaky Aşgabat lukmançylyk orta hünär okuw mekdebi,2,Türkmenistanyň  Prezidentiniň  ýurdumyzy  2022-2028-nji  ýyllarda  ösdürmegiň  Maksatnamasynda  Bilim  ministriligi  tarapyndan  ýerine  ýetirmeli  çäreleriň  çäginde  OHOM-niň  mugallymlarynyň  arasynda  okatmagyň  usulýetini  kämilleşdirmek  boýunça  uzak  aralykdan  okuw  sapaklary    geçirilse.
I.Gandi adyndaky Aşgabat lukmançylyk orta hünär okuw mekdebi,2,"Bilim ulgamyny kämilleşdirmek, bilimiň mazmunyna we okatmagyň usulýetine täzeçe garamak badatynda: okuw işlerinde,  ýaş nesilleri  ylmyň we tehnikanyň  ösen döwründe täze tehnologiýalaryň döremegi bilen baglylykda, bilim edaralarynda okatmagyň-usulyýetini kämilleşdirmek boýunça okuw sapaklarynda täze döwrebap usullaryndan peýdalanmak; "
I.Gandi adyndaky Aşgabat lukmançylyk orta hünär okuw mekdebi,2,"Toparlarda  okaýanlaryň  öwreniş  ukybynyň  we  başarnygynyň   aýratynlyklaryny  göz  öňünde  tutup  kiçi  toparçalara  bölünse,  sapak  meýilnamasynda  görkezilse,  tertibinde  ýumuşlar  özleşdirilse talybyň  ukyp  başarnygynyň  oýarjy  motiwatiýasynyň  ösüşini  güýçlendirer;"
I.Gandi adyndaky Aşgabat lukmançylyk orta hünär okuw mekdebi,6,"Bilim boýunça umumy maksatlara ýetilmegi tizleşdirmek üçin esasy strategik özgertmeleri we gurallary kesgitlemek babatynda: welaýatlardaky orta lukmançylyk okuw mekdepleri bilen tejribe alyşmak we oňyn netijeli usulýetleri  ulanmak,  okuw sapaklarynda amaly  başarnyklarny mundan  beýläk   hem  artdyrar;"
I.Gandi adyndaky Aşgabat lukmançylyk orta hünär okuw mekdebi,6,Ýurdumyzyň   baýry  ýokary  okuw  mekdepleri  bilen  ylmyň  gazananlarny  okuw  sapaklaryna  ornaşdyrmak   babatynda  özara  tejribäni  işjeşleşdirmeli.
I.Gandi adyndaky Aşgabat lukmançylyk orta hünär okuw mekdebi,11, Okatmagyň  ylmy  barlag  usullaryny   Halkara  okuw  ylmy  merkezinde   okuw  tejribeliginde   özleşdirmeli;
I.Gandi adyndaky Aşgabat lukmançylyk orta hünär okuw mekdebi,11,Ösen  ylym  bilim  tehnologiýalaryny  peýdalanmakda  daşary  ýurt  okuw  mekdepleri  bilen  özara  tejribäni  ýola  goýmaly.  
I.Gandi adyndaky Aşgabat lukmançylyk orta hünär okuw mekdebi,11,"Bilim  işiniň   merkezinde    okaýanyň   bolmagyny  ýokarlandyrmak maksady  bilen,   patisipatiw  usulynda  okatmagy  ýola  goýmaly."
I.Gandi adyndaky Aşgabat lukmançylyk orta hünär okuw mekdebi,13,"Ýaşlar baradaky döwlet syýasaty bagly meseleler babatynda: ýaş nesilleri  milli gymmatlyklarymyza, däp-dessurlarymyza buýsanç ruhunda terbiýelemek maksady bilen yzygiderli wagyz-ündewli maslahatlary  geçirmegi;"
I.Gandi adyndaky Aşgabat lukmançylyk orta hünär okuw mekdebi,13,"Terbiýeçilik işlerini kämilleşdirmek babatynda: ýaş nesilleri  türkmen halkynyň  müňýyllyklardan gözbaş alýan şöhratly taryhyny  täze nazaryýet esasynda öwretmeli, olarda watansöýüjilik we hünärine söýgüni ösdürmeklikde alynyp barylýan işleri durmuşa geçirmegi."
Saçly Dursunowa adyndaky Arkadag şäher lukmançylyk orta hünär okuw mekdebi,6,"Okatmagyň usulyýetini kämilleşdirmek maksady bilen ösen döwletler bilen okuw-usulyýet, ylym-bilim ugurlary boýunça hyzmatdaşlygy ösdürmeli."
Saçly Dursunowa adyndaky Arkadag şäher lukmançylyk orta hünär okuw mekdebi,6,"Talyplara dersleri okadylanda TSG we DS ministrliginiň çykarýan buýruklaryny, görkezmelerini, resminamalarynyň doldurulyşyny geçýän temalary bilen baglanyşdyryp okatmaly."
Saçly Dursunowa adyndaky Arkadag şäher lukmançylyk orta hünär okuw mekdebi,6,"Ýurdumyzda we dünýäde sanly bilime berilýän ähmiýeti nazara alyp, multimediýalaryň, interaktiw talgtalaryň kömegi bilen sapak okatmagyň usulyýetini kämilleşdirmeli."
Saçly Dursunowa adyndaky Arkadag şäher lukmançylyk orta hünär okuw mekdebi,6,"Talyplaryň häzirki zaman lukmançylyk enjamlaryndan baş çykarmaklygy  üçin, olaryň geçýän sapaklarynda  lukmançylyk enjamlarynyň ulanylyşyny öwretmeli.  "
Saçly Dursunowa adyndaky Arkadag şäher lukmançylyk orta hünär okuw mekdebi,12,"Orta hünär we ýokary okuw mekdepleriň talyplarynyň arasynda däp-dessurlarymyz, medeni-mirasymyz bilen ýakyndan tanyşdyrmak maksady bilen  yzygiderli ýadygärliklere we muzeýlere gezelençleri gurnamaly."
Saçly Dursunowa adyndaky Arkadag şäher lukmançylyk orta hünär okuw mekdebi,12,"Talyp gyzlarymyzyň arasynda yzygiderli haly dokamak, tikin tikmek, milli nagyşlarymyzy çekmek ýaly çäreleri, bäsleşikleri yzygiderli gurnap durmaly."
Saçly Dursunowa adyndaky Arkadag şäher lukmançylyk orta hünär okuw mekdebi,12,Talyplary milli ruhda terbiýelemek maksady bilen taryhy şahsyýetlerimiziň durmuş ýoly bilen tanyşdyrylýan çäreleri gurnamak.
Saçly Dursunowa adyndaky Arkadag şäher lukmançylyk orta hünär okuw mekdebi,13,"Talyplarymyzy biziň taryhy lukman şahsyýetlerimiziň eden işleri bilen tanyşdyrmaly we olarda ýurdumyza bolan söýgüsini, buýsanjyny ösdürmeli."
Balkan lukmançylyk orta okuw mekdebi,1,"Halk maslahatynyň mejlisiniň döwlet we jemgyýetçilik durmuşynyň möhüm meseleleriniň ara alyp maslahatlaşmakda, ýurdumyzy mundan beýläkde gülläp ösdürmek boýunça öňde durýan wezipeleri kesgitlemekde, halkymyzyň agzybirligini, jebisligini pugtalandyrmakda möhüm ähmiýete edigini wagyz etmek maksady bilen duşuşyklary yzygider gurnamak "
Balkan lukmançylyk orta okuw mekdebi,11,Saglygy goraýyş edaralarynda  degişli hünärlerine baglylykda döwle tejribeliginde  tejribeli  lukmanlar  tarapyndan  lukmançylyk mekdepleriniň talyplaryna hünär öwretmekliklerini has-da giňeltmegi ugrunda işleriň alnyp barylşy.
Balkan lukmançylyk orta okuw mekdebi,13,"Gahryman Arkadagymyzyň Halk maslahatynyň mejlisinde eden çykyşlaryndan ugur alyp ýurdumyzyň taryhyny ylmy taýdan düýpli öwrenmekde, dünýä ýaýmakda, Milli Liderimiz Gahryman Arkadagymyzyň, Arkadagly Gahryman Serdarymyzyň alyp barýan parasatly içeri we daşary syýasatlarynyň netijesinde durmuşa geçirilýän giň gerimli işler barada maglumatlary okuw gurnaklarynda giňden peýdalanmak"
Gurbansoltan Eje adyndaky Daşoguz lukmançylyk orta okuw mekdebi,1,"Gahryman Arkadagymyzyň atalyk kitaplarynyň, ylmy-ensiklopedik eserleriniň çuňňur many-mazmunyny ýaşlaryň okuw -terbiýeçilik işinde giňişleýin ornaşdyrmak maksady bilen aýratyn ders hökmünde girizmek."
Gurbansoltan Eje adyndaky Daşoguz lukmançylyk orta okuw mekdebi,2,Okuw-terbiýeçilik işlerinde sanly tehnologiýalary (emeli aň) giňden ulanmaklygy we ornaşdyrmaklgy dowam etmek
Gurbansoltan Eje adyndaky Daşoguz lukmançylyk orta okuw mekdebi,6,Okatmagyň häzirki zaman usulyýetlerini ornaşdyrmagy dowam etmek
S.A.Nyýazow adyndaky Mary lukmançylyk orta okuw mekdebi,1," Turkmen Halkynyn Milli Lideri, Gahryman Arkadagymyzyn kitaplaryny okuw 
dersi hokmtinde girizmek"
S.A.Nyýazow adyndaky Mary lukmançylyk orta okuw mekdebi,2,Okuw-terbiýeçilik işlerini sanlylaşdyrmagy dowam etdirmek
S.A.Nyýazow adyndaky Mary lukmançylyk orta okuw mekdebi,3,Dünýä ylmynyň soňky gazanan enjamlary ornaşdyrylan binalaryň sanynyň köpeldilmegi
S.A.Nyýazow adyndaky Mary lukmançylyk orta okuw mekdebi,6,Okatmakda dünýä ylmynyň soňky gazanan sanly maglumat goraglylygyny berkitmek 
S.A.Nyýazow adyndaky Mary lukmançylyk orta okuw mekdebi,11,Okuw sapaklaryny hassahanalar bilen teleköpri arkaly gurnamak
S.A.Nyýazow adyndaky Mary lukmançylyk orta okuw mekdebi,12,Lukman Hekimiň amaly tejribesiniň aýratynlygyny beýan etmek 
Türkmenabat lukmançylyk orta okuw mekdebi,1,"Ylymly -bilimli sagdyn  ýaşlar  Döwletimiziň  kuwwatly  güýjidir,  nurana geldjegidir"" diýen  Arkadagly  Gahryman  Serdarymyzyň  sözlerinden ugur alyp talyp ýaşlara  çuňňur bilim bermek"
Türkmenabat lukmançylyk orta okuw mekdebi,6,Taze innowasiýa tehnologiýalaryndan giňden peýdalanmak 
Türkmen döwlet medeniýet we sungat mekdebi,2,Medeniýet ugurly mekdepleriň ýaş hünärmenlerini iş ýerlerine baranlarynda halk köpçüligi bilen işleýändiklerini göz öňüne tutup mekdebiň ähli okuw meýilnamalarynyň psihologiýa dersini goşmak
Türkmen döwlet medeniýet we sungat mekdebi,12,"Ýaş hünärmenlere iş orunlaryny artdyrmak maksady bilen, Ahal welaýatynyň çäginde Ahal welaýat kitaphanasynyň hem-de Ahal welaýat teatrynyň täze binasynyň gurulmagyny, ýaşlarda taryhy şahslara, medeni mirasymyza buýsanç duýgusyny terbiýelemäge ýardam bolar diýip, täze binalara medeniýet ulgamynda ussatlyklary bilen halkyň ýüreginde öçmejek yz galdyran şahsyýetleriň atlarynyň dakylmagy "
Sahy Jepbarow adyndaky Arkadag şäher ýörite sungat mekdebi,2,"Çagalar sungat mekdeplerinde Solfejio we saz teoriýa sapagy häzirki wagtda45 minudyň dowamynda geçilýär. ""Saz teoriýa"" we ""Solfejio"" her dersi aýratynlykda 45 minut okatmak teklibi."
Sahy Jepbarow adyndaky Arkadag şäher ýörite sungat mekdebi,6,"Ýörite sazçylyk sungat mekdeplerinde okaýan talyplaryň okuwa bolan höweslerini artdyrmak, şeýle hem olary döredijilige ugrukdyrmak maksady okuw meýilnamasyna ""Saz sowady"" dersi girizilip, ""Final"" programmasyny giňişleýin öwretmek."
Sahy Jepbarow adyndaky Arkadag şäher ýörite sungat mekdebi,11,Çagalar sungat mekdebine islegi bolan saglygy çäkli çagalar üçin ýörite höwesjeň sungat mekdebi döredilse.
Sahy Jepbarow adyndaky Arkadag şäher ýörite sungat mekdebi,13,"Hormatly Prezidentimiziň, Gahryman Arkadagymyzyň biz üçin gollanma bolýan türkmen medeniýetini ösdürýän kitaplary ookuw meýilnamasyna girizilse we öwrenilse."
Sahy Jepbarow adyndaky Arkadag şäher ýörite sungat mekdebi,14,Gözbaşyny müňýyllyklardan alyp gaýdýan medeniýetimiz we däp-dessurlarymyz bilen bir hatarda aýdym-sazymyz  we edebiýatymyz hem örän ýakyn baglanyşykly. Şol esasdan hem türkmen halkynyň gadymy hem nusgawy şahyrlarynyň şygyrlaryny aýdym ýerine ýetirilende dürs we dogry manysyny anyk bilmek maksady bilen sungata degişli ýörite we ýokary okuw mekdeplerinde okuw meýilnama esasynda sapaklar girizmek. 
M.Garlyýew adyndaky ýörite sungat mekdebi,1,"Gahryman Arkadagymyzyň: “Köp dil öwrenmek, öz ene diliňi kämil derejede bilmek ýurdumyzyň döwlet syýasatynda hem birjik-de ünsden düşürilmez...” diýen parasatly ünddewlerinden ugur alyp, häzirki wagtda ene dilimiziň döwlet dili hukugyna eýe bolup, jemgyýetçilik hyzmatynyň giňelmegi bilen sözleýiş medeniýetini kämilleşdirmek şeýle hem talyplaryň pikirini aýdyň ýüze çykarmagy we olaryň dilimiziň edebi kadalaryny, ýazuw aýratynlyklaryny düýpli özleşdirmeklerine we dil serişdelerini ýerlikli peýdalanmaklaryny gazanmak maksady bilen, ýörite orta hünär okuw mekdeplerinde okaýan ugruna, hünärine seretmezden “Sözleýiş medeniýeti” dersini okuw meýilnamasyna girizilmek;"
M.Garlyýew adyndaky ýörite sungat mekdebi,1,"Daşoguzyň M.Garlyýew adyndaky ýörite sungat mekdebi öz aýratynlygyna laýyklykda, aýdym-saz we sungat hünär ugurly orta hünär okuw mekdeplerinde beýleki döwletleriň aýdym-sazyny, sungatyny öwrenmek, olar bilen özara hyzmatdaşlyklary gurnamak, halkara aýdym-saz bäsleşiklerini geçirmek we talyp ýaşlaryň üstünlikli çykyş etmeklerini gazanmak, täzeçe saz eserlerini ýola goýmak we ony halkara giňlişligine çykarmak nazaryndan ugur alyp daşary ýurt döwrebap saz eserlerini, öwrenmek we özleşdirmek, belli we görnükli daşary ýurt halypalarynyň ömür-döredijiligini töwerekleýin öwrenmek we olary okuw meýilnamasyna girizilip okadylmagyny; "
M.Garlyýew adyndaky ýörite sungat mekdebi,1,"Berkarar döwletiň täze eýýamynyň Galkynyşy döwründe türkmen halkynyň Milli Lideri, Gahryman Arkadagymyzyň asylly başlangyçlary, Türkmenistanyň Prezidenti Arkadagly Gahryman Serdarymyzyň Tagallalary esasynda milli medeni mirasymyzy ösdürmek babatynda edilýän aladalardan nusga alyp, döredjiligiň köpugurly görnüşleri esasynda zehin taýdan kämil, başarjaň, höwesjeň ýaş ýerine ýetirijileri goldamak maksady bilen köpçülikleýin aýdym aýtmak, saz nazaryýeti we taryhy dersleri, saz gurallarynda ýerine ýetirijilik, suratkeşlik we döredijiligiň beýleki ugurlary esasynda gysga möhletli tölegli okuwlary açmaklygy"
M.Garlyýew adyndaky ýörite sungat mekdebi,1,"Gahryman Arkadagamyzyň başlangyjy bilen döredilen haýyr – sahawat gaznasyndan nusga alyp, saglygy taýdan näsag ýaşlaryň orta hünär, ýokary okuw bilim almaga isleg bildirýänleri üçin online okuwlary açmaly we üstünlikli tamamlan diňleýjilere degişli şahadatnama, diplom bilen üpjün edilmeli. Bu mümkinçilikden wagtlaýyn saglygy ýitiren talyplar hem peýdalanmagy ýola goýmagy"
M.Garlyýew adyndaky ýörite sungat mekdebi,2,"Jemgyýetçilik ösüşiniň kuwwatly özgerdiji güýji bolan ýurdumyzyň bilim ulgamyny ösdürmek hormatly Prezidentimiz Serdar Berdimuhamedowyň alyp barýan durmuş – ykdysady syýasatynyň ileri tutulýan ugurlarynyň biridir. “Türkmenistanda 2021 – 2025-nji ýyllarda sanly ykdysadyýeti ösdürmegiň Döwlet maksatnamasyna” laýyklykda hem-de bu maksatnamany amala aşyrmak boýunça ýerine ýetirilmeli çäreleriň Meýilnamasyna laýyklykda, ýurdumyzda bilim edaralarynyň okuw meýilnamalary we maksatnamalary dünýäniň oňyn tejribesi esasynda kämilleşýär. Talyp ýaşlaryň arasynda aralyk we aýlyk jemlemelerde, synaglarda pes ýetişik görkezen talyplaryň, şeýle hem okuw sapaklaryna umumy ýetişik görkezmedik talyplaryň okuw sapaklaryny özleşdirmek işleri tölegli esasynda alnyp barylmagyny teklip berýäris."
M.Garlyýew adyndaky ýörite sungat mekdebi,2,"Häzirki döwürde ylmyň we täzeçil tehnologiýalaryň ornunyň barha berkeýändigini nazara alyp, okatmagyň täze innowasion ugurlaryndan peýdalanmak"
M.Garlyýew adyndaky ýörite sungat mekdebi,5,"Ýokary okuw bilim almaga isleg bildirýänleri üçin online okuwlary açmaly we üstünlikli tamamlan diňleýjilere degişli şahadatnama, diplom bilen üpjün etmek;"
M.Garlyýew adyndaky ýörite sungat mekdebi,8,"Ýurdumyzyň durmuş – ykdysady taýdan ösmegine öz goşantlaryny goşmak maksady bilen ylmy – barlag merkezleriniň ähli welaýat merkezlerinde gurulyp, ulanmaga bermek;"
M.Garlyýew adyndaky ýörite sungat mekdebi,12,Ýaşlaryň arasynda Watançylyk terbiýesini ýokarlandyrmak üçin ÝUNESKO-nyň Bütindünýä sanawyna girizilen ýädygärliklerimize syýahatlary gurnamak;
Balkan welaýat ýörite sungat mekdebi,1,Gahryman Arkadagymyzyň öňe süren teklibine laýyklykda geçirilýän maslahatlary geçirmegiň ähmiýetini düşündirmek bilen bagly maslahatlar;
Balkan welaýat ýörite sungat mekdebi,2,"Berkarar döwletiň täze eýýamynyň Galkynyşy döwründe ýaşlaryň dünýä ülňülerine laýyk gelýän maksatnamalaryna laýyklykda ylymly-bilimli bolup ýetişmeklerinde giň mümkinçiliklerinden peýdalanyp, ylmy-barlag işleri bilen meşgullanmaklaryny artdyrmak, olaryň öz bilim derejesini kämilleşdirmek maksady bilen, ylmyň we innowasiýalaryň ileri tutulýan ugurlary boýunça tehnologiýalar merkezleriniň ähli welaýatlarda gurlup ulanylmaga berilmegini;"
Balkan welaýat ýörite sungat mekdebi,3,"Saglygy sebäpli mümkinçiligi çäkli çagalar bilen alnyp barylýan işleri kämilleşdirmek maksady bilen, pedagogik işgärleriň hünärini ýokarlandyrmak boýunça geçilýän okuwlaryň sanyny artdyrmak hem-de orta we ýokary okuw jaýlarynda ýöriteleşdirilen-defektologiýa hünärine kabul edilýän dalaşgärleriň sanyny artdyrmak;"
Balkan welaýat ýörite sungat mekdebi,4,"Edara-kärhanalarda zähmet çekýän işgärleriň hepdäniň 6 gününde işleýändiklerini nazara alyp, mekdebe çenli çagalar edaralarynyň hepde-de 5 günlük iş gününiň 6 gün tertibine geçirmek;"
Balkan welaýat ýörite sungat mekdebi,5,"Etrap merkezlerinden uzak aralykda ýerleşýän we barmasy kyn bolan ilatly obalarda ýaşaýan aýratyn ukyply ýaşlaryň aýdym-saza bolan ukyplaryny, isleglerini artdyrmagy, höweslendirmegi göz öňüne tutup, Balkan welaýat ýörite sungat mekdebiniň düzüminde tölegli 1 ýyllyk okuwa taýýarlaýyş merkezini döretmek;"
Balkan welaýat ýörite sungat mekdebi,6,Ýurdumyzyň ähli künjeklerinde halkara derejä laýyk gelýän dürli ugurlar boýunça mekdep-gimnaziýalary açmak;
Balkan welaýat ýörite sungat mekdebi,6,"Medeniýetiň, sungatyň, ylmyň örän çalt depginlerde ösmegi, täze tehnologiýalaryň döremegi bilen baglylykda okatmagyň usulyýetini kämilleşdirmek maksady bilen, multimediýa serişdeleriniň üpjünçilik sanyny artdyrmak;"
Balkan welaýat ýörite sungat mekdebi,7,Hüwdiniň ýerine ýetirijilik sungatyny ÝUNESCO-nyň Adamzadyň maddy däl medeni mirasynyň sanawyna girizmek boýunça Döwlet derejesinde bäsleşikleri yglan etmek;
